n_clusters,n_dims,n_samples,algorithm,param,std_error
9,2,400000,rpkm,6,-0.008494813248139416
9,2,1200000,rpkm,1,-0.4655030247819827
9,2,1200000,rpkm,2,-0.3168302420362253
9,2,1200000,rpkm,3,-0.2911818382254606
9,2,1200000,rpkm,4,-0.12262416818591663
9,2,1200000,rpkm,5,-0.010612440532924334
9,2,1200000,rpkm,6,-0.008772405720611403
9,2,4000000,rpkm,1,-0.4623019143588758
9,2,4000000,rpkm,2,-0.3201207893511469
9,2,4000000,rpkm,3,-0.19183952057590714
9,2,4000000,rpkm,4,-0.13217347765411086
9,2,4000000,rpkm,5,-0.023818738494913318
9,2,4000000,rpkm,6,-0.0008064390901046457
9,4,4000,rpkm,1,-0.8239659363215976
9,4,4000,rpkm,2,-0.40578790868741554
9,4,4000,rpkm,3,-0.12918330478156806
9,4,4000,rpkm,4,-0.04648224544689833
9,4,4000,rpkm,5,-0.01000699013377866
9,4,4000,rpkm,6,-4.4216916490538475e-05
9,4,12000,rpkm,1,-1.0434034240461867
9,4,12000,rpkm,2,-0.40396408266837824
9,4,12000,rpkm,3,-0.09853651949214777
9,4,12000,rpkm,4,-0.023244438721922063
9,4,12000,rpkm,5,-0.005280512324194535
9,4,12000,rpkm,6,-5.687207990732739e-05
9,4,40000,rpkm,1,-0.9461285401404679
9,4,40000,rpkm,2,-0.4228807799478572
9,4,40000,rpkm,3,-0.19007071918142052
9,4,40000,rpkm,4,-0.06798717885087757
9,4,40000,rpkm,5,-0.024154825869424544
9,4,40000,rpkm,6,-0.00010623944162616974
9,4,120000,rpkm,1,-0.9861923024976262
9,4,120000,rpkm,2,-0.5482141083847275
9,4,120000,rpkm,3,-0.26842606683753817
9,4,120000,rpkm,4,-0.14337430024598882
9,4,120000,rpkm,5,-0.01974772778488064
9,4,120000,rpkm,6,-0.0005681821503574924
9,4,400000,rpkm,1,-0.884821018425562
9,4,400000,rpkm,2,-0.5632188220992312
9,4,400000,rpkm,3,-0.2504387813874064
9,4,400000,rpkm,4,-0.16079338350225994
9,4,400000,rpkm,5,-0.033617073176147025
9,4,400000,rpkm,6,-0.00010840124988020005
9,4,1200000,rpkm,1,-0.9045789072834124
9,4,1200000,rpkm,2,-0.5008183657132755
9,4,1200000,rpkm,3,-0.1886068009790723
9,4,1200000,rpkm,4,-0.09130768530745459
9,4,1200000,rpkm,5,-0.022803678924876905
9,4,1200000,rpkm,6,-0.0002556283295359966
9,4,4000000,rpkm,1,-1.3169432096228737
9,4,4000000,rpkm,2,-1.0233588265931153
9,4,4000000,rpkm,3,-0.26212466786606237
9,4,4000000,rpkm,4,-0.12115038666321472
9,4,4000000,rpkm,5,-0.02050108999859194
9,4,4000000,rpkm,6,-0.002381065654590585
9,8,4000,rpkm,1,-0.5896910235904973
9,8,4000,rpkm,2,-0.2704855238915039
9,8,4000,rpkm,3,-0.03985118531647706
9,8,4000,rpkm,4,-0.01545950956575523
9,8,4000,rpkm,5,-0.0006765085445095237
9,8,4000,rpkm,6,-0.0001973571839002993
9,8,12000,rpkm,1,-0.5438951262582562
9,8,12000,rpkm,2,-0.10743923513222339
9,8,12000,rpkm,3,-0.022902552660898388
9,8,12000,rpkm,4,-0.0018195498460153302
9,8,12000,rpkm,5,-0.00041395721246603934
9,8,12000,rpkm,6,-1.2122066948177826e-05
9,8,40000,rpkm,1,-0.5803937371223746
9,8,40000,rpkm,2,-0.2553146662240241
9,8,40000,rpkm,3,-0.08848628931110412
9,8,40000,rpkm,4,-0.021889233316898373
9,8,40000,rpkm,5,-0.020093585557985245
9,8,40000,rpkm,6,-1.4381256426583365e-05
9,8,120000,rpkm,1,-0.6349573418591956
9,8,120000,rpkm,2,-0.21050945447656066
9,8,120000,rpkm,3,-0.08496636017961408
9,8,120000,rpkm,4,-0.05041304922255779
9,8,120000,rpkm,5,-5.4279097331043446e-05
9,8,120000,rpkm,6,-2.2607996024067025e-06
9,8,400000,rpkm,1,-0.6387730548154685
9,8,400000,rpkm,2,-0.18777025950831522
9,8,400000,rpkm,3,-0.030193275135654136
9,8,400000,rpkm,4,-0.008598724012199008
9,8,400000,rpkm,5,-0.00021365794662930458
9,8,400000,rpkm,6,-6.777601427172888e-06
9,8,1200000,rpkm,1,-0.5379071008532766
9,8,1200000,rpkm,2,-0.15677222341822028
9,8,1200000,rpkm,3,-0.03248162002411534
9,8,1200000,rpkm,4,-0.01320607903998056
9,8,1200000,rpkm,5,-0.011692079645194389
9,8,1200000,rpkm,6,-1.8257560305554745e-05
9,8,4000000,rpkm,1,-2.4282835032536396
9,8,4000000,rpkm,2,-0.9039712320440048
9,8,4000000,rpkm,3,-0.17325899395267946
9,8,4000000,rpkm,4,-0.04639044515640035
9,8,4000000,rpkm,5,-0.011809268749299214
9,8,4000000,rpkm,6,-1.339239429450646e-05
