n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,4,400000,k-means++,None,102240000.0,0.34703574180603025
9,4,400000,mb-kmeans,100.0,32834430.0,0.5211668968200683
9,4,400000,mb-kmeans,500.0,33268050.0,0.16266112327575682
9,4,400000,mb-kmeans,1000.0,35546400.0,0.27527613639831544
9,4,400000,rpkm,1.0,312.3,0.07476778030395508
9,4,400000,rpkm,2.0,2160.0,0.11388204097747803
9,4,400000,rpkm,3.0,17632.8,0.1583629369735718
9,4,400000,rpkm,4.0,74238.3,0.2283716917037964
9,4,400000,rpkm,5.0,578817.9,0.3838080644607544
9,4,400000,rpkm,6.0,1867209.3,0.9520521402359009
9,4,1200000,k-means++,None,369360000.0,0.9803869962692261
9,4,1200000,mb-kmeans,100.0,99357480.0,1.8870233297348022
9,4,1200000,mb-kmeans,500.0,99990900.0,0.5687206029891968
9,4,1200000,mb-kmeans,1000.0,101475000.0,0.466454005241394
9,4,1200000,rpkm,1.0,324.9,0.22852616310119628
9,4,1200000,rpkm,2.0,2693.7,0.36674065589904786
9,4,1200000,rpkm,3.0,18661.5,0.5319181919097901
9,4,1200000,rpkm,4.0,89847.0,0.749000096321106
9,4,1200000,rpkm,5.0,809340.3,1.0965113401412965
9,4,1200000,rpkm,6.0,2641126.5,1.9309933185577393
9,4,4000000,k-means++,None,882000000.0,2.482859659194946
9,4,4000000,mb-kmeans,100.0,328979790.0,5.697131872177124
9,4,4000000,mb-kmeans,500.0,331916850.0,1.57620108127594
9,4,4000000,mb-kmeans,1000.0,336775500.0,1.2970925569534302
9,4,4000000,rpkm,1.0,418.5,0.7676149129867553
9,4,4000000,rpkm,2.0,2782.8,1.227286458015442
9,4,4000000,rpkm,3.0,23247.9,1.8221982717514038
9,4,4000000,rpkm,4.0,151531.2,2.594971442222595
9,4,4000000,rpkm,5.0,854822.7,3.6911716938018797
9,4,4000000,rpkm,6.0,4067084.7,5.022354102134704
9,8,4000,k-means++,None,1123200.0,0.0884636402130127
9,8,4000,mb-kmeans,100.0,364230.0,0.01963760852813721
9,8,4000,mb-kmeans,500.0,438750.0,0.0565011739730835
9,8,4000,mb-kmeans,1000.0,555300.0,0.08725976943969727
9,8,4000,rpkm,1.0,1359.9,0.0033186197280883787
9,8,4000,rpkm,2.0,7682.4,0.00877077579498291
9,8,4000,rpkm,3.0,53407.8,0.022983527183532713
9,8,4000,rpkm,4.0,145288.8,0.0572413444519043
9,8,4000,rpkm,5.0,296136.9,0.12103321552276611
9,8,4000,rpkm,6.0,412865.1,0.22583339214324952
9,8,12000,k-means++,None,3153600.0,0.12759802341461182
9,8,12000,mb-kmeans,100.0,1040220.0,0.037778806686401364
9,8,12000,mb-kmeans,500.0,1132650.0,0.07963507175445557
9,8,12000,mb-kmeans,1000.0,1227600.0,0.0884331226348877
9,8,12000,rpkm,1.0,1496.7,0.004964566230773926
9,8,12000,rpkm,2.0,9418.5,0.012047266960144043
9,8,12000,rpkm,3.0,52879.5,0.031581544876098634
9,8,12000,rpkm,4.0,206933.4,0.08555040359497071
9,8,12000,rpkm,5.0,387166.5,0.22473719120025634
9,8,12000,rpkm,6.0,544096.8,0.4672736167907715
9,8,40000,k-means++,None,9900000.0,0.1628241777420044
9,8,40000,mb-kmeans,100.0,3426480.0,0.10234677791595459
9,8,40000,mb-kmeans,500.0,3598200.0,0.09870915412902832
9,8,40000,mb-kmeans,1000.0,3726900.0,0.0985184669494629
9,8,40000,rpkm,1.0,1495.8,0.010442757606506347
9,8,40000,rpkm,2.0,11486.7,0.021637749671936036
9,8,40000,rpkm,3.0,104996.7,0.05085909366607666
9,8,40000,rpkm,4.0,386981.1,0.14741802215576172
9,8,40000,rpkm,5.0,845757.9,0.4150768995285034
9,8,40000,rpkm,6.0,1637820.9,1.00972580909729
9,8,120000,k-means++,None,29916000.0,0.20658977031707765
9,8,120000,mb-kmeans,100.0,10002600.0,0.20723400115966797
9,8,120000,mb-kmeans,500.0,10150650.0,0.1267611026763916
9,8,120000,mb-kmeans,1000.0,10399500.0,0.12705557346343993
9,8,120000,rpkm,1.0,1794.6,0.02593650817871094
9,8,120000,rpkm,2.0,14164.2,0.04613206386566162
9,8,120000,rpkm,3.0,107891.1,0.09002056121826171
9,8,120000,rpkm,4.0,380154.6,0.22356107234954833
9,8,120000,rpkm,5.0,1145405.7,0.6499421834945679
9,8,120000,rpkm,6.0,1754180.1,1.9909008502960206
9,8,400000,k-means++,None,87840000.0,0.3273625373840332
9,8,400000,mb-kmeans,100.0,33341310.0,0.7179097414016724
9,8,400000,mb-kmeans,500.0,33361650.0,0.2316427230834961
9,8,400000,mb-kmeans,1000.0,35089200.0,0.27007255554199217
9,8,400000,rpkm,1.0,1845.9,0.08473341464996338
9,8,400000,rpkm,2.0,15793.2,0.14712936878204347
9,8,400000,rpkm,3.0,126054.0,0.23998167514801025
9,8,400000,rpkm,4.0,455181.3,0.46598520278930666
9,8,400000,rpkm,5.0,1318777.2,1.1804237127304078
9,8,400000,rpkm,6.0,3543963.3,3.5022442817687987
9,8,1200000,k-means++,None,315360000.0,0.9213663578033447
9,8,1200000,mb-kmeans,100.0,98863830.0,1.7681195259094238
9,8,1200000,mb-kmeans,500.0,99890100.0,0.6009113550186157
9,8,1200000,mb-kmeans,1000.0,99568800.0,0.3812734603881836
9,8,1200000,rpkm,1.0,2287.8,0.26552343368530273
9,8,1200000,rpkm,2.0,18096.3,0.4556295156478882
9,8,1200000,rpkm,3.0,103077.9,0.7344764947891236
9,8,1200000,rpkm,4.0,745622.1,1.1935219049453736
9,8,1200000,rpkm,5.0,2373845.4,2.395527195930481
9,8,1200000,rpkm,6.0,4659425.1,6.278921580314636
9,8,4000000,k-means++,None,954000000.0,2.819681000709534
9,8,4000000,mb-kmeans,100.0,328282470.0,5.513276505470276
9,8,4000000,mb-kmeans,500.0,332504100.0,1.7467036962509155
9,8,4000000,mb-kmeans,1000.0,342667800.0,1.6683084487915039
9,8,4000000,rpkm,1.0,1375.2,0.7721386671066284
9,8,4000000,rpkm,2.0,12645.0,1.40480215549469
9,8,4000000,rpkm,3.0,92159.1,2.2129795789718627
9,8,4000000,rpkm,4.0,498350.7,3.235894870758057
9,8,4000000,rpkm,5.0,2569370.4,4.931114315986633
9,8,4000000,rpkm,6.0,11076757.2,10.125630164146424
