n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
9,2,100.0,mb-kmeans,1000.0,157500.0,0.00912613868713379
9,2,100.0,rpkm,1.0,204.3,0.0016678810119628907
9,2,100.0,rpkm,2.0,596.7,0.0032440900802612306
9,2,100.0,rpkm,3.0,1194.3,0.005203056335449219
9,2,100.0,rpkm,4.0,2034.0,0.007627725601196289
9,2,100.0,rpkm,5.0,3102.3,0.012735724449157715
9,2,100.0,rpkm,6.0,4113.9,0.014295077323913575
9,2,1000.0,k-means++,None,73800.0,0.0025235414505004883
9,2,1000.0,mb-kmeans,100.0,60750.0,0.017408132553100586
9,2,1000.0,mb-kmeans,500.0,138150.0,0.009691119194030762
9,2,1000.0,mb-kmeans,1000.0,227700.0,0.012883901596069336
9,2,1000.0,rpkm,1.0,159.3,0.001853609085083008
9,2,1000.0,rpkm,2.0,568.8,0.0036419391632080077
9,2,1000.0,rpkm,3.0,1457.1,0.005910849571228028
9,2,1000.0,rpkm,4.0,3925.8,0.009932827949523926
9,2,1000.0,rpkm,5.0,12927.6,0.021740102767944337
9,2,1000.0,rpkm,6.0,21805.2,0.07708940505981446
9,2,10000.0,k-means++,None,774000.0,0.15616557598114014
9,2,10000.0,mb-kmeans,100.0,508230.0,0.041524291038513184
9,2,10000.0,mb-kmeans,500.0,583200.0,0.024269652366638184
9,2,10000.0,mb-kmeans,1000.0,673200.0,0.021918320655822755
9,2,10000.0,rpkm,1.0,234.9,0.0046986818313598635
9,2,10000.0,rpkm,2.0,767.7,0.008831667900085449
9,2,10000.0,rpkm,3.0,2356.2,0.010416626930236816
9,2,10000.0,rpkm,4.0,7532.1,0.02080216407775879
9,2,10000.0,rpkm,5.0,18779.4,0.03008923530578613
9,2,10000.0,rpkm,6.0,46604.7,0.12936251163482665
9,2,100000.0,k-means++,None,8640000.0,0.19906671047210694
9,2,100000.0,mb-kmeans,100.0,4604670.0,0.18650534152984619
9,2,100000.0,mb-kmeans,500.0,5014800.0,0.0763472318649292
9,2,100000.0,mb-kmeans,1000.0,5139900.0,0.04643990993499756
9,2,100000.0,rpkm,1.0,221.4,0.037207531929016116
9,2,100000.0,rpkm,2.0,792.0,0.04428331851959229
9,2,100000.0,rpkm,3.0,2504.7,0.053978705406188966
9,2,100000.0,rpkm,4.0,6358.5,0.06739068031311035
9,2,100000.0,rpkm,5.0,21056.4,0.13034849166870116
9,2,100000.0,rpkm,6.0,59009.4,0.17651042938232422
9,2,1000000.0,k-means++,None,71100000.0,0.5577834367752075
9,2,1000000.0,mb-kmeans,100.0,47331540.0,1.7682138442993165
9,2,1000000.0,mb-kmeans,500.0,45605700.0,0.2913783550262451
9,2,1000000.0,mb-kmeans,1000.0,47911500.0,0.28647809028625487
9,2,1000000.0,rpkm,1.0,249.3,0.28405156135559084
9,2,1000000.0,rpkm,2.0,847.8,0.3894811153411865
9,2,1000000.0,rpkm,3.0,2695.5,0.41502273082733154
9,2,1000000.0,rpkm,4.0,8076.6,0.5282939195632934
9,2,1000000.0,rpkm,5.0,31020.3,0.6653114557266235
9,2,1000000.0,rpkm,6.0,79028.1,0.8236882209777832
9,4,100.0,k-means++,None,7380.0,0.002186703681945801
9,4,100.0,mb-kmeans,100.0,26190.0,0.008956456184387207
9,4,100.0,mb-kmeans,500.0,104400.0,0.009496641159057618
9,4,100.0,mb-kmeans,1000.0,186300.0,0.010944104194641114
9,4,100.0,rpkm,1.0,344.7,0.001625370979309082
9,4,100.0,rpkm,2.0,1636.2,0.0038806915283203123
9,4,100.0,rpkm,3.0,3278.7,0.00692598819732666
9,4,100.0,rpkm,4.0,4571.1,0.010522699356079102
9,4,100.0,rpkm,5.0,4748.4,0.013131284713745117
9,4,100.0,rpkm,6.0,4748.4,0.013635802268981933
9,4,1000.0,k-means++,None,98100.0,0.0029837846755981444
9,4,1000.0,mb-kmeans,100.0,66240.0,0.010431265830993653
9,4,1000.0,mb-kmeans,500.0,153000.0,0.011530470848083497
9,4,1000.0,mb-kmeans,1000.0,247500.0,0.012325000762939454
9,4,1000.0,rpkm,1.0,339.3,0.001723647117614746
9,4,1000.0,rpkm,2.0,3078.0,0.004797935485839844
9,4,1000.0,rpkm,3.0,17240.4,0.012573623657226562
9,4,1000.0,rpkm,4.0,67326.3,0.03087916374206543
9,4,1000.0,rpkm,5.0,118811.7,0.05797550678253174
9,4,1000.0,rpkm,6.0,130484.7,0.09087145328521729
9,4,10000.0,k-means++,None,927000.0,0.15849168300628663
9,4,10000.0,mb-kmeans,100.0,510120.0,0.03133108615875244
9,4,10000.0,mb-kmeans,500.0,589500.0,0.015139436721801758
9,4,10000.0,mb-kmeans,1000.0,726300.0,0.08892333507537842
9,4,10000.0,rpkm,1.0,430.2,0.003095865249633789
9,4,10000.0,rpkm,2.0,4168.8,0.007481122016906738
9,4,10000.0,rpkm,3.0,30706.2,0.020554232597351074
9,4,10000.0,rpkm,4.0,206222.4,0.07494382858276367
9,4,10000.0,rpkm,5.0,606195.9,0.3543909788131714
9,4,10000.0,rpkm,6.0,958445.1,0.7159834384918213
9,4,100000.0,k-means++,None,10170000.0,0.20213840007781983
9,4,100000.0,mb-kmeans,100.0,4975200.0,0.2570534944534302
9,4,100000.0,mb-kmeans,500.0,4835250.0,0.04854695796966553
9,4,100000.0,mb-kmeans,1000.0,5048100.0,0.11341798305511475
9,4,100000.0,rpkm,1.0,478.8,0.015676093101501466
9,4,100000.0,rpkm,2.0,5048.1,0.029506373405456542
9,4,100000.0,rpkm,3.0,35199.0,0.0573599100112915
9,4,100000.0,rpkm,4.0,274975.2,0.18634135723114015
9,4,100000.0,rpkm,5.0,1989626.4,0.9319545984268188
9,4,100000.0,rpkm,6.0,5217945.3,2.839621901512146
9,4,1000000.0,k-means++,None,102600000.0,0.5770085096359253
9,4,1000000.0,mb-kmeans,100.0,47892240.0,2.0006314754486083
