n_clusters,n_dims,n_samples,algorithm,param,adjusted_mutual_info,adjusted_rand,normalized_mutual_info
3,8,100.0,rpkm,4,0.9886236861859959,0.9949901083615564,0.9889249919723323
3,8,100.0,rpkm,5,0.9886236861859959,0.9949901083615564,0.9889249919723323
3,8,100.0,rpkm,6,0.9886236861859959,0.9949901083615564,0.9889249919723323
3,8,1000.0,rpkm,1,0.7906750707870395,0.7491215465160886,0.7910910683520455
3,8,1000.0,rpkm,2,0.8882275563351165,0.8719201641376506,0.8884494028837409
3,8,1000.0,rpkm,3,1.0,1.0,1.0
3,8,1000.0,rpkm,4,1.0,1.0,1.0
3,8,1000.0,rpkm,5,1.0,1.0,1.0
3,8,1000.0,rpkm,6,1.0,1.0,1.0
3,8,10000.0,rpkm,1,0.9743171467312541,0.9859367063014346,0.9743218237399314
3,8,10000.0,rpkm,2,0.9861784450319193,0.993005937155119,0.9861809619714915
3,8,10000.0,rpkm,3,0.998896204730023,0.9995501700961078,0.9988964057286684
3,8,10000.0,rpkm,4,1.0,1.0,1.0
3,8,10000.0,rpkm,5,1.0,1.0,1.0
3,8,10000.0,rpkm,6,1.0,1.0,1.0
3,8,100000.0,rpkm,1,0.9147618761279682,0.9162547686961894,0.9147634804356406
3,8,100000.0,rpkm,2,0.9782776553840444,0.9879343822269651,0.9782780508622926
3,8,100000.0,rpkm,3,0.9976131191789162,0.9990735430151586,0.9976131626327922
3,8,100000.0,rpkm,4,1.0,1.0,1.0
3,8,100000.0,rpkm,5,1.0,1.0,1.0
3,8,100000.0,rpkm,6,1.0,1.0,1.0
3,8,1000000.0,rpkm,1,0.837242176851672,0.815201712862429,0.8372424984702429
3,8,1000000.0,rpkm,2,0.8413896717313187,0.8178178076751624,0.8413899862797074
3,8,1000000.0,rpkm,3,0.9471821991391606,0.9400340507691587,0.9471823034111629
3,8,1000000.0,rpkm,4,1.0,1.0,1.0
3,8,1000000.0,rpkm,5,1.0,1.0,1.0
3,8,1000000.0,rpkm,6,1.0,1.0,1.0
9,2,100.0,rpkm,1,0.9600140754389802,0.9295329778845961,0.9668842557515223
9,2,100.0,rpkm,2,0.9809987494700525,0.9703973538494122,0.9843363792424749
9,2,100.0,rpkm,3,0.9871484787485574,0.9872905806757197,0.9893789859773479
9,2,100.0,rpkm,4,0.9956763007753973,0.997916689675239,0.996412982166278
9,2,100.0,rpkm,5,0.9984890955781047,0.9990530857353391,0.9987542715397136
9,2,100.0,rpkm,6,1.0,1.0,1.0
9,2,1000.0,rpkm,1,0.9463148699489627,0.9299688400693853,0.9471442052194515
9,2,1000.0,rpkm,2,0.9688551151072813,0.9696351123500365,0.9693473751464857
9,2,1000.0,rpkm,3,0.9771235760545756,0.9794098807745636,0.9774871464197739
9,2,1000.0,rpkm,4,0.9857088876714238,0.9887454930593472,0.9859364570568463
9,2,1000.0,rpkm,5,0.9974726244094712,0.997948156625766,0.9975127443453365
9,2,1000.0,rpkm,6,0.9997522150680925,0.9999106754471233,0.9997562376695587
9,2,10000.0,rpkm,1,0.9362208189390572,0.917077858513548,0.9363218249823196
9,2,10000.0,rpkm,2,0.9488322859959266,0.937610811124415,0.9489126511642535
9,2,10000.0,rpkm,3,0.9703822802817701,0.9741330098452792,0.9704286149377728
9,2,10000.0,rpkm,4,0.9790736899376691,0.9835208436657601,0.9791060955848561
9,2,10000.0,rpkm,5,0.9893364627752044,0.9927900479526123,0.9893531951231577
9,2,10000.0,rpkm,6,0.997707171291329,0.9986756764628254,0.9977108028956276
9,2,100000.0,rpkm,1,0.9256546380387498,0.8918772702845847,0.9256661640511645
9,2,100000.0,rpkm,2,0.9429593822929426,0.9244943942401574,0.9429682046166683
9,2,100000.0,rpkm,3,0.9739490530017726,0.975936727551144,0.9739530629894979
9,2,100000.0,rpkm,4,0.979036588424038,0.9821597800235411,0.9790398236586734
9,2,100000.0,rpkm,5,0.9864589030771356,0.9903204525564199,0.9864610021918125
9,2,100000.0,rpkm,6,0.9980341152439319,0.9989129671800014,0.9980344116893155
