n_clusters,n_dims,n_samples,algorithm,param,silhouette,calinski_harabasz,davies_bouldin
3,2,10000.0,rpkm,6.0,0.6023428210721503,65660.76263004169,0.6558498019416107
3,4,100.0,k-means++,None,0.4420313749541206,141.22639290730154,0.8779678300117663
3,4,100.0,mb-kmeans,100.0,0.43987461312796894,140.6555000574055,0.8838609908297362
3,4,100.0,mb-kmeans,500.0,0.44222277493252554,141.30437040430803,0.8808348861979323
3,4,100.0,mb-kmeans,1000.0,0.44222277493252554,141.30437040430803,0.8808348861979323
3,4,100.0,rpkm,1.0,0.4233023002847611,130.74367694162316,0.9083408159232078
3,4,100.0,rpkm,2.0,0.43792061042229535,138.88447577026776,0.8841464239708022
3,4,100.0,rpkm,3.0,0.44075469468545636,141.12353587515616,0.8777993438432048
3,4,100.0,rpkm,4.0,0.44061262794143374,141.13922252319588,0.8782850346624805
3,4,100.0,rpkm,5.0,0.44061262794143374,141.13922252319588,0.8782850346624805
3,4,100.0,rpkm,6.0,0.44061262794143374,141.13922252319588,0.8782850346624805
3,4,1000.0,k-means++,None,0.4397743562252523,1380.229811403259,0.9082048939014786
3,4,1000.0,mb-kmeans,100.0,0.44693862581626753,1426.3812760671105,0.8797786742452469
3,4,1000.0,mb-kmeans,500.0,0.42640884265688417,1251.21635497188,1.0042201987284076
3,4,1000.0,mb-kmeans,1000.0,0.42659090240230874,1251.5626704183342,1.0045688297073994
3,4,1000.0,rpkm,1.0,0.3811225606708597,1132.5365599361653,1.0954550633240812
3,4,1000.0,rpkm,2.0,0.4253690619085651,1239.7884035880402,0.9905800628817957
3,4,1000.0,rpkm,3.0,0.4402830348311301,1313.615074834342,0.9409878352961236
3,4,1000.0,rpkm,4.0,0.4402724142949184,1313.7254591594515,0.9413129661524163
3,4,1000.0,rpkm,5.0,0.44026236866950336,1313.7601842265808,0.9422684379632191
3,4,1000.0,rpkm,6.0,0.44026236866950336,1313.7601842265808,0.9422684379632191
3,4,10000.0,k-means++,None,0.4507183917886146,14494.324916541387,0.8739412109125972
3,4,10000.0,mb-kmeans,100.0,0.4504635943203513,14488.662536940818,0.8742156630124048
3,4,10000.0,mb-kmeans,500.0,0.44121249029600734,14029.750811259693,0.9235453943890585
3,4,10000.0,mb-kmeans,1000.0,0.45057462284234395,14491.684269762194,0.8742782148521169
3,4,10000.0,rpkm,1.0,0.4112733208752699,12717.934545868306,1.0047096654407754
3,4,10000.0,rpkm,2.0,0.41932491377459397,13191.29971713007,0.9958878629424737
3,4,10000.0,rpkm,3.0,0.44088005171844513,14041.445272972813,0.9188596666912512
3,4,10000.0,rpkm,4.0,0.440894752711608,14041.715664310357,0.9187521861735197
3,4,10000.0,rpkm,5.0,0.44127498153960376,14042.282855366202,0.9188906293446261
3,4,10000.0,rpkm,6.0,0.44127498153960376,14042.282855366202,0.9188906293446261
3,8,100.0,k-means++,None,0.2578601769996649,40.510877408173855,1.438507092723531
3,8,100.0,mb-kmeans,100.0,0.25893814484455036,44.40114601011902,1.4259252940365195
3,8,100.0,mb-kmeans,500.0,0.2595466936067655,44.4447879670531,1.4216303961916585
3,8,100.0,mb-kmeans,1000.0,0.2606617069513747,44.51611754338846,1.423720389374847
3,8,100.0,rpkm,1.0,0.2527338486288694,42.99916138688046,1.4563499459947242
3,8,100.0,rpkm,2.0,0.25499490228262545,43.59661118646099,1.4498649083504758
3,8,100.0,rpkm,3.0,0.25499490228262545,43.59661118646099,1.4498649083504758
3,8,100.0,rpkm,4.0,0.25499490228262545,43.59661118646099,1.4498649083504758
3,8,100.0,rpkm,5.0,0.25499490228262545,43.59661118646099,1.4498649083504758
3,8,100.0,rpkm,6.0,0.25499490228262545,43.59661118646099,1.4498649083504758
3,8,1000.0,k-means++,None,0.27694227480611844,473.5632333645552,1.3864498004882932
3,8,1000.0,mb-kmeans,100.0,0.2767450181619343,473.11874408357687,1.387100015762448
3,8,1000.0,mb-kmeans,500.0,0.27686385482448966,473.2938731535563,1.385115269786237
3,8,1000.0,mb-kmeans,1000.0,0.2769691047072541,473.47693995744095,1.385975649740582
3,8,1000.0,rpkm,1.0,0.2334019108242225,406.7497406377969,1.6832393906909104
3,8,1000.0,rpkm,2.0,0.24708722340169445,426.77230011928657,1.5826297764029482
3,8,1000.0,rpkm,3.0,0.26768420311008817,455.23433034926893,1.449565919488109
3,8,1000.0,rpkm,4.0,0.26768420311008817,455.23433034926893,1.449565919488109
3,8,1000.0,rpkm,5.0,0.26768420311008817,455.23433034926893,1.449565919488109
3,8,1000.0,rpkm,6.0,0.26768420311008817,455.23433034926893,1.449565919488109
3,8,10000.0,k-means++,None,0.27847488762443345,4772.1976385871385,1.365528348415717
