n_clusters,n_dims,n_samples,algorithm,param,distance_calculations_average,fit_time_average
3,8,400000,mb-kmeans,500.0,2756850.0,0.2376174211502075
3,8,400000,mb-kmeans,1000.0,3127500.0,0.2282702922821045
3,8,400000,rpkm,1.0,291.6,0.07803843021392823
3,8,400000,rpkm,2.0,2118.3,0.14601399898529052
3,8,400000,rpkm,3.0,15834.0,0.21872637271881104
3,8,400000,rpkm,4.0,51254.4,0.46312613487243653
3,8,400000,rpkm,5.0,125366.1,1.0376773595809936
3,8,400000,rpkm,6.0,309400.2,2.720102405548096
3,8,1200000,k-means++,None,40680000.0,0.5190693616867066
3,8,1200000,mb-kmeans,100.0,8521410.0,2.164806604385376
3,8,1200000,mb-kmeans,500.0,9258000.0,0.7271570205688477
3,8,1200000,mb-kmeans,1000.0,9420300.0,0.5368330955505372
3,8,1200000,rpkm,1.0,113.4,0.2203803300857544
3,8,1200000,rpkm,2.0,968.4,0.3804410219192505
3,8,1200000,rpkm,3.0,5553.6,0.5791739225387573
3,8,1200000,rpkm,4.0,37063.8,0.8924328565597535
3,8,1200000,rpkm,5.0,93336.0,1.610471820831299
3,8,1200000,rpkm,6.0,260252.1,3.2982556581497193
3,8,4000000,k-means++,None,158400000.0,1.3883598804473878
3,8,4000000,mb-kmeans,100.0,25475190.0,5.138286781311035
3,8,4000000,mb-kmeans,500.0,26441100.0,1.456120228767395
3,8,4000000,mb-kmeans,1000.0,31787400.0,1.7391230821609498
3,8,4000000,rpkm,1.0,63.6,0.5154289960861206
3,8,4000000,rpkm,2.0,707.7,1.0637145280838012
3,8,4000000,rpkm,3.0,4544.4,1.777414894104004
3,8,4000000,rpkm,4.0,21815.1,2.6571805000305178
3,8,4000000,rpkm,5.0,79140.9,3.888742995262146
3,8,4000000,rpkm,6.0,258765.9,6.454458904266358
9,2,4000,k-means++,None,637200.0,0.008632421493530273
9,2,4000,mb-kmeans,100.0,214380.0,0.02147512435913086
9,2,4000,mb-kmeans,500.0,270900.0,0.013103270530700683
9,2,4000,mb-kmeans,1000.0,412200.0,0.01640465259552002
9,2,4000,rpkm,1.0,334.8,0.004278993606567383
9,2,4000,rpkm,2.0,1449.9,0.007150697708129883
9,2,4000,rpkm,3.0,7577.1,0.01124575138092041
9,2,4000,rpkm,4.0,29544.3,0.02357218265533447
9,2,4000,rpkm,5.0,72653.4,0.048719477653503415
9,2,4000,rpkm,6.0,143552.7,0.08506755828857422
9,2,12000,k-means++,None,1965600.0,0.3005429029464722
9,2,12000,mb-kmeans,100.0,602910.0,0.034439468383789064
9,2,12000,mb-kmeans,500.0,653400.0,0.014526963233947754
9,2,12000,mb-kmeans,1000.0,758700.0,0.017336082458496094
9,2,12000,rpkm,1.0,300.6,0.006837224960327149
9,2,12000,rpkm,2.0,1563.3,0.009551739692687989
9,2,12000,rpkm,3.0,6096.6,0.014199352264404297
9,2,12000,rpkm,4.0,27625.5,0.024377155303955077
9,2,12000,rpkm,5.0,75796.2,0.0471451997756958
9,2,12000,rpkm,6.0,255840.3,0.11044275760650635
9,2,40000,k-means++,None,6660000.0,0.3131357431411743
9,2,40000,mb-kmeans,100.0,1905030.0,0.07512068748474121
9,2,40000,mb-kmeans,500.0,2151000.0,0.04021904468536377
9,2,40000,mb-kmeans,1000.0,2336400.0,0.03612163066864014
9,2,40000,rpkm,1.0,251.1,0.014470458030700684
9,2,40000,rpkm,2.0,1563.3,0.020145630836486815
9,2,40000,rpkm,3.0,8288.1,0.02855074405670166
9,2,40000,rpkm,4.0,29314.8,0.0404088020324707
9,2,40000,rpkm,5.0,164088.0,0.07310161590576172
9,2,40000,rpkm,6.0,257733.9,0.16340239048004152
9,2,120000,k-means++,None,22680000.0,0.3943162202835083
9,2,120000,mb-kmeans,100.0,5760360.0,0.2341015100479126
9,2,120000,mb-kmeans,500.0,5843700.0,0.06099424362182617
9,2,120000,mb-kmeans,1000.0,6392700.0,0.07731983661651612
9,2,120000,rpkm,1.0,281.7,0.03773336410522461
9,2,120000,rpkm,2.0,1647.0,0.050780963897705075
9,2,120000,rpkm,3.0,7462.8,0.06600034236907959
9,2,120000,rpkm,4.0,32368.5,0.08724815845489502
9,2,120000,rpkm,5.0,198217.8,0.12852284908294678
9,2,120000,rpkm,6.0,362692.8,0.24519670009613037
9,2,400000,k-means++,None,64800000.0,0.43556714057922363
9,2,400000,mb-kmeans,100.0,18395370.0,0.5565923929214478
9,2,400000,mb-kmeans,500.0,18594900.0,0.1383371591567993
9,2,400000,mb-kmeans,1000.0,20721600.0,0.18918883800506592
9,2,400000,rpkm,1.0,297.0,0.12153341770172119
9,2,400000,rpkm,2.0,1640.7,0.15644357204437256
9,2,400000,rpkm,3.0,7457.4,0.1988349199295044
9,2,400000,rpkm,4.0,31275.9,0.24820406436920167
9,2,400000,rpkm,5.0,134287.2,0.31592597961425783
9,2,400000,rpkm,6.0,631377.0,0.5652511596679688
9,2,1200000,k-means++,None,207360000.0,0.9150401592254639
9,2,1200000,mb-kmeans,100.0,54880650.0,1.5001858711242675
9,2,1200000,mb-kmeans,500.0,55293750.0,0.38917462825775145
9,2,1200000,mb-kmeans,1000.0,60688800.0,0.5173777580261231
9,2,1200000,rpkm,1.0,351.0,0.36276826858520506
9,2,1200000,rpkm,2.0,1588.5,0.48195245265960696
9,2,1200000,rpkm,3.0,7002.9,0.5998421907424927
9,2,1200000,rpkm,4.0,24441.3,0.7284499168395996
9,2,1200000,rpkm,5.0,169905.6,0.8959177494049072
